Date,Time,Camera,Detection,Confidence
2026-06-30,15:15:25,CAM0-BAY 3,smoke,0.48
2026-06-30,15:15:26,CAM0-BAY 3,smoke,0.29
2026-06-30,15:15:27,CAM0-BAY 3,smoke,0.58
2026-06-30,15:15:30,CAM0-BAY 3,smoke,0.33
2026-06-30,15:15:42,CAM0-BAY 3,smoke,0.30
2026-06-30,15:15:43,CAM0-BAY 3,smoke,0.78
2026-06-30,15:15:46,CAM0-BAY 3,smoke,0.29
2026-06-30,15:16:26,CAM0-BAY 3,smoke,0.38
2026-06-30,15:16:29,CAM0-BAY 3,smoke,0.26
2026-06-30,15:16:33,CAM0-BAY 3,smoke,0.41
2026-06-30,15:16:39,CAM0-BAY 3,smoke,0.26
2026-06-30,15:16:41,CAM0-BAY 3,smoke,0.29
2026-06-30,15:16:52,CAM0-BAY 3,smoke,0.30
2026-06-30,15:16:55,CAM0-BAY 3,smoke,0.33
2026-06-30,15:17:03,CAM0-BAY 3,smoke,0.28
2026-06-30,15:17:06,CAM0-BAY 3,smoke,0.39
2026-06-30,15:17:07,CAM0-BAY 3,smoke,0.32
2026-06-30,15:17:08,CAM0-BAY 3,smoke,0.25
2026-06-30,15:17:11,CAM0-BAY 3,smoke,0.44
2026-06-30,15:17:13,CAM0-BAY 3,smoke,0.40
2026-06-30,15:17:14,CAM0-BAY 3,smoke,0.42
2026-06-30,15:17:15,CAM0-BAY 3,smoke,0.25
2026-06-30,15:17:16,CAM0-BAY 3,smoke,0.30
2026-06-30,15:17:17,CAM0-BAY 3,smoke,0.28
2026-06-30,15:17:18,CAM0-BAY 3,smoke,0.29
2026-06-30,15:17:23,CAM0-BAY 3,smoke,0.26
2026-06-30,15:17:24,CAM0-BAY 3,smoke,0.49
2026-06-30,15:17:32,CAM0-BAY 3,smoke,0.57
2026-06-30,15:17:33,CAM0-BAY 3,smoke,0.33
2026-06-30,15:17:35,CAM0-BAY 3,smoke,0.51
2026-06-30,15:17:37,CAM0-BAY 3,smoke,0.51
2026-06-30,15:17:38,CAM0-BAY 3,smoke,0.38
2026-06-30,15:17:44,CAM0-BAY 3,smoke,0.47
2026-06-30,15:17:49,CAM0-BAY 3,smoke,0.34
2026-06-30,15:18:48,CAM0-BAY 3,smoke,0.27
2026-06-30,15:18:52,CAM0-BAY 3,smoke,0.36
2026-06-30,15:19:34,CAM0-BAY 3,smoke,0.40
2026-06-30,15:19:35,CAM0-BAY 3,smoke,0.26
2026-06-30,15:20:37,CAM0-BAY 3,smoke,0.26
2026-06-30,15:26:26,CAM0-DOCK,fire,0.25
2026-06-30,15:26:30,CAM0-BAY 3,smoke,0.44
2026-06-30,15:26:33,CAM0-BAY 3,smoke,0.38
2026-06-30,15:26:37,CAM0-BAY 3,smoke,0.34
2026-06-30,15:26:38,CAM0-BAY 3,smoke,0.57
2026-06-30,15:26:43,CAM0-BAY 3,smoke,0.34
2026-06-30,15:26:51,CAM0-BAY 3,smoke,0.29
2026-06-30,15:26:54,CAM0-BAY 3,smoke,0.27
2026-06-30,15:38:43,CAM0-DOCK,fire,0.30
2026-06-30,15:38:59,CAM0-DOCK,fire,0.25
2026-06-30,15:39:00,CAM0-DOCK,fire,0.30
2026-06-30,15:39:07,CAM0-DOCK,fire,0.25
2026-06-30,15:39:18,CAM0-DOCK,fire,0.74
2026-06-30,15:40:25,CAM0-DOCK,fire,0.36
2026-06-30,15:40:46,CAM0-DOCK,smoke,0.43
2026-06-30,15:41:08,CAM0-DOCK,fire,0.30
2026-06-30,15:41:18,CAM0-DOCK,smoke,0.28
2026-06-30,15:41:25,CAM0-DOCK,smoke,0.28
2026-06-30,15:41:25,CAM0-DOCK,fire,0.37
2026-06-30,15:41:30,CAM0-DOCK,smoke,0.28
2026-06-30,15:41:30,CAM0-DOCK,fire,0.32
2026-06-30,15:41:31,CAM0-DOCK,fire,0.50
2026-06-30,15:41:31,CAM0-DOCK,smoke,0.25
2026-06-30,15:41:35,CAM0-DOCK,smoke,0.33
